pintr_dif,O_sd,C_sd,E_sd,A_sd,N_sd,male,leeftijd,oplzon,ideology,ay09a018,ay09b018,cp09b024,cp09b034,cp09b044,cp09b054,cp09b059,cp09b064,cp09b069,cp09b029rc,cp09b039rc,cp09b049rc
1,0.22053432101548567,0.4737020184743192,-0.21300871912786096,-0.07874630407645358,-0.1325475099593084,0,34,3,5,5,4,4,3,3,4,3,4,3,4,5,4
-1,1.3491307751697172,-0.28797061188509065,0.8194656037377483,-0.07874630407645358,-1.0386185481886112,1,34,6,7,6,7,5,5,5,5,4,4,5,5,5,5
1,-0.4976634225372072,-0.09755245429523819,-0.371850922645647,0.02392550750148947,0.6225116885651106,0,23,4,NA,2,1,3,3,3,3,2,4,3,3,3,3
0,0.32313399866587034,0.8545383336540241,1.1371500107733203,0.3319409422353186,1.075547207679762,0,58,2,NA,3,3,3,5,4,4,3,4,4,3,3,5
-1,-0.3950637448868225,0.5689110972692454,-0.530693126163433,0.02392550750148947,0.6980176084175526,0,50,4,4,3,4,4,2,4,4,1,4,2,4,4,2
0,-0.08726471193566841,0.37849293967939296,0.4223600949432832,0.8453000001250339,0.3959939290077849,0,70,2,6,5,5,4,3,3,4,2,4,4,4,3,3
1,0.015334965714716276,0.8545383336540241,-0.054166515610074926,0.5372845653912047,0.16947616945045924,1,35,4,3,5,4,4,2,3,4,3,4,3,4,4,4
-1,-0.08726471193566841,-0.5735978482698694,0.5017811967021762,0.02392550750148947,-0.05704159010686648,1,67,2,1,5,6,4,4,4,4,3,3,4,2,2,4
0,0.32313399866587034,0.1880747820895405,-0.13358761736896796,-0.18141811565439664,-0.43457118936907596,1,53,5,4,2,2,4,4,4,4,3,3,4,4,4,4
-1,-0.18986438958605312,0.09286570329461427,0.3429389931843902,-0.07874630407645358,0.32048800915534303,1,39,4,7,4,5,3,4,4,3,2,4,4,3,3,3
1,0.425733676316255,0.5689110972692454,0.5812022984610692,-1.6188234777455994,-0.1325475099593084,1,74,5,NA,6,5,5,5,5,5,2,4,5,2,2,4
3,0.22053432101548567,0.2832838608844667,-0.8483775331990051,-0.28408992723233967,-0.28355934966419216,1,57,5,7,6,3,4,4,4,4,2,4,4,4,3,4
-1,-0.3950637448868225,-0.5735978482698694,-0.371850922645647,-0.900120796699998,0.32048800915534303,1,18,2,2,3,4,3,3,3,3,3,4,3,3,3,3
-1,-0.18986438958605312,-0.09755245429523819,-0.13358761736896796,-0.07874630407645358,-0.3590652695166341,0,65,2,3,4,5,4,2,3,4,3,4,4,3,3,3
0,0.22053432101548567,0.37849293967939296,0.10467568790771112,0.5372845653912047,-0.8876067084837274,1,54,5,3,7,7,4,4,3,4,2,4,4,4,3,5
0,-0.6002631001875919,-0.09755245429523819,0.6606234002199622,-0.18141811565439664,-0.6610889489264017,1,45,2,7,4,4,3,2,3,3,3,3,3,3,3,3
2,-0.2924640672364378,-0.28797061188509065,0.10467568790771112,-0.28408992723233967,-0.28355934966419216,1,46,4,5,3,1,3,3,3,4,3,3,3,3,3,4
-1,0.425733676316255,0.2832838608844667,-0.292429820886754,0.5372845653912047,0.3959939290077849,0,51,3,7,3,4,3,4,5,4,2,4,5,4,3,5
-1,0.5283333539666397,0.5689110972692454,0.025254586148818092,0.12659731907943253,0.018464329745575422,0,65,3,4,1,2,5,4,4,4,4,4,4,3,3,5
2,-0.6002631001875919,-0.002343375500311962,-0.21300871912786096,-0.07874630407645358,-0.2080534298117503,1,56,2,5,4,2,3,4,3,4,1,2,3,3,2,4
