pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
-1,3,4,-0.005793907116155319,-0.31118286350603724,0.41010612953326325,0.5783361193242116,0.19947542461297335,0,49,12,1,5,8,6
NA,4,NA,NA,NA,NA,NA,NA,0,56,6,8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,3,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,1,51,5,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,39,5,10,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,32,13,5,NA,NA,NA
0,3,3,-0.005793907116155319,-0.19353314569793348,-0.5447458202101036,-0.6094511762551581,-0.15385307568886453,1,37,6,7,5,6,8
0,1,1,-0.0958683829367207,0.7476645967668968,-0.5447458202101036,-0.3934898497861818,0.6411360499902706,0,57,3,NA,5,7,6
0,3,3,-0.005793907116155319,0.5123651611506892,0.5055913245075999,0.902278109027676,-0.5955137010661619,1,68,5,3,6,8,5
0,3,3,0.08428056870441007,0.630014878958793,0.6965617144562734,-0.2855091865516936,-0.4188494509152429,1,35,10,8,6,6,8
0,2,2,0.8048763752689332,0.630014878958793,0.41010612953326325,0.902278109027676,0.2878075496884328,0,43,12,0,9,10,9
0,3,3,0.4445784719866716,-0.19353314569793348,-0.3537754302614303,0.3623747928552353,0.6411360499902706,0,24,9,1,10,7,7
NA,NA,3,0.35450399616610623,0.27706572553448167,0.02816534963591646,0.3623747928552353,0.11114329953751388,1,53,13,NA,4,10,9
NA,NA,NA,NA,NA,NA,NA,NA,1,35,10,3,NA,NA,NA
0,3,3,-0.2760173345778515,-0.5464822991222449,-0.2582902352870936,-0.3934898497861818,0.19947542461297335,1,40,10,6,2,6,8
0,4,4,0.534652947807237,0.04176628991827409,-0.449260625235767,-0.3934898497861818,-0.9488422013679997,0,61,9,0,9,9,7
