election,placebo,pintr,pintr_placebo,male,age,edu,ideology,O_sd,C_sd,E_sd,A_sd,N_sd,p09c64,p09c69
0,NA,7,7,1,46,8,6,-0.34794832272231363,0.360022053926309,-1.09150635737989,0.06227540579901044,0.43795351308906133,6,4
NA,NA,10,7,0,43,1,4,0.7238820420902462,0.6878852751489608,0.5000460813802351,-0.6451513530581715,-0.43236252201148023,8,10
NA,1,1,5,1,20,1,4,-1.5537574831364434,-1.9350204946322538,-0.5609888777931816,-1.88314818105824,-1.4477312296287785,1,0
NA,NA,5,8,1,18,0,0,-0.07999073151917374,0.360022053926309,0.5000460813802351,-0.6451513530581715,0.43795351308906133,7,5
NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,8,1,50,10,7,0.32194565528553626,0.360022053926309,-0.16310076810315038,-0.4682946633438758,-0.28730984949472316,10,5
NA,NA,2,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2,5,0,50,4,8,-0.6159059139254536,-0.6235676097416465,-0.030471398206473158,-0.6451513530581715,0.1478481680555473,4,4
NA,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,10,0,52,4,6,0.9918396332933861,0.360022053926309,0.6326754512769124,0.2391320955133061,1.018164203156089,10,10
NA,1,5,2,0,43,1,NA,0.32194565528553626,0.03215883270365715,0.10215797169020377,-0.2914379736295805,-0.722467867044994,8,7
1,NA,0,0,1,43,4,6,-0.4819271183238836,0.03215883270365715,0.10215797169020377,-0.4682946633438758,0.2929008405723043,8,1
NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,5,1,40,9,10,-0.34794832272231363,-0.1317727779076686,0.234787341586881,-0.822008042772467,0.1478481680555473,8,2
NA,NA,3,4,0,30,8,8,-0.8838635051285936,-0.1317727779076686,0.3674167114835582,-0.11458128391528485,0.0027954955387905684,4,2
NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,8,0,85,1,NA,-0.21396952712074355,-0.7874992203529724,-0.2957301379998273,-0.4682946633438758,-0.43236252201148023,7,4
NA,NA,7,7,0,46,5,3,-0.4819271183238836,-0.4596359991303204,-0.6936182476898587,-0.11458128391528485,-0.5774151945282371,6,3
1,NA,5,3,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,2,1,47,9,NA,-0.21396952712074355,0.03215883270365715,-0.16310076810315038,0.06227540579901044,0.2929008405723043,7,4
NA,NA,5,5,0,43,10,6,0.5899032464886761,0.19609044331498324,0.8979341910702665,0.06227540579901044,0.2929008405723043,7,10
1,0,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,7,1,38,7,5,-0.21396952712074355,-0.29570438851899467,-0.4283595078965045,-0.11458128391528485,-0.14225717697796647,4,7
NA,NA,2,6,0,36,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,3,3,0,45,5,6,0.18796685968396615,-0.9514308309642983,-0.5609888777931816,-0.4682946633438758,0.1478481680555473,6,8
1,NA,8,7,1,44,4,5,0.4559244508871063,-0.1317727779076686,0.10215797169020377,0.4159887852276018,0.0027954955387905684,8,8
NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,3,0,39,10,4,0.9918396332933861,-0.7874992203529724,-1.09150635737989,-0.2914379736295805,-1.0125732120785078,10,10
NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,7,1,62,7,7,0.05398806408239635,0.6878852751489608,-0.9588769874832129,0.4159887852276018,-0.722467867044994,5,8
NA,NA,7,8,0,85,5,3,0.32194565528553626,0.523953664537635,-0.4283595078965045,0.5928454749418971,0.2929008405723043,5,10
NA,NA,8,NA,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,NA,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,0,0,1,47,7,5,0.7238820420902462,-0.1317727779076686,-0.030471398206473158,0.2391320955133061,0.43795351308906133,8,10
NA,NA,3,3,0,41,4,5,-0.6159059139254536,0.03215883270365715,-0.5609888777931816,-0.2914379736295805,-0.722467867044994,3,5
NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,5,2,1,51,4,4,0.4559244508871063,0.19609044331498324,-0.030471398206473158,-0.11458128391528485,0.43795351308906133,8,8
NA,NA,0,0,0,45,1,NA,-0.21396952712074355,-0.6235676097416465,0.234787341586881,-0.11458128391528485,-1.1576258845952647,8,3
NA,NA,0,4,0,25,3,5,-0.07999073151917374,0.03215883270365715,0.10215797169020377,0.06227540579901044,-0.14225717697796647,5,7
NA,NA,0,NA,0,18,1,5,-1.0178423007301636,0.03215883270365715,0.234787341586881,-1.529434801629649,0.2929008405723043,0,5
NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,3,1,47,10,NA,0.5899032464886761,-0.7874992203529724,-1.2241357272765672,0.2391320955133061,-1.5927839021455354,8,9
NA,NA,4,5,1,77,7,10,0.4559244508871063,-0.4596359991303204,-0.4283595078965045,0.06227540579901044,0.5830061856058181,8,8
NA,NA,8,7,0,68,6,10,0.9918396332933861,0.6878852751489608,-0.6936182476898587,0.946558854370488,0.8731115306393318,10,10
NA,NA,2,0,0,82,1,NA,0.4559244508871063,-0.7874992203529724,-0.4283595078965045,1.1234155440847837,-0.43236252201148023,10,6
NA,NA,8,8,0,31,6,NA,0.857860837691816,0.19609044331498324,0.10215797169020377,-0.11458128391528485,0.0027954955387905684,10,9
NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,8,0,88,6,4,-0.4819271183238836,-0.29570438851899467,-0.5609888777931816,-0.4682946633438758,0.7280588581225751,5,4
NA,NA,8,8,1,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,1,76,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,0,0,69,6,NA,-0.6159059139254536,0.8518168857602868,NA,-0.6451513530581715,1.018164203156089,5,3
NA,NA,NA,10,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,6,1,53,7,6,-0.6159059139254536,0.6878852751489608,-0.8262476175865359,0.06227540579901044,-0.28730984949472316,5,3
NA,NA,2,3,0,51,10,4,-0.21396952712074355,-0.1317727779076686,0.6326754512769124,-0.2914379736295805,-0.5774151945282371,4,7
NA,NA,1,2,0,27,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,3,0,25,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,1,22,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,7,5,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,4,0,37,4,NA,-0.4819271183238836,0.19609044331498324,-0.4283595078965045,-0.6451513530581715,-0.28730984949472316,6,3
NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,NA,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,5,1,45,10,7,0.18796685968396615,-0.4596359991303204,-0.030471398206473158,-1.529434801629649,-0.5774151945282371,7,7
