terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,-0,NA,1,24,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,3,0,63,2,-8,0.6490966533395148,0.32031006951476154,-0.6097271950588146,-0.7223299143949291,0.006446345522615976,6,7,5
NA,NA,3,2,0,26,1,-8,0.5141102131374822,-0.13780872439933817,0.9451608075815668,-0.8874251227121689,0.38526770480453915,6,7,4
NA,NA,2,NA,0,92,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,0,52,6,-7,-0.0258355476706488,0.32031006951476154,-0.6097271950588146,-1.0525203310294087,0.2589939183772314,3,4,6
NA,NA,NA,1,0,56,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,-0,0,49,4,-8,0.24413733273341667,-0.5959275183134378,-0.044313375916857696,0.2682413355085094,-0.11982744090469175,5,4,6
NA,NA,-0,-0,1,57,6,1,-0.0258355476706488,0.32031006951476154,-0.1856668307023469,-0.5572347060776893,-0.49864880018661495,4,4,5
NA,NA,-0,NA,0,24,2,10,0.24413733273341667,-0.13780872439933817,0.6624538980105884,0.10314612719126968,-0.11982744090469175,5,5,5
NA,0,1,2,0,38,4,-8,0.6490966533395148,0.7784288634288612,0.09704007886863153,0.2682413355085094,-0.6249225866139226,7,5,6
NA,NA,3,3,0,62,1,-8,1.054055973945613,-0.2905149890373714,0.37974698843960997,-0.06194908112597008,0.6378152776591546,7,7,7
NA,NA,-0,2,1,62,4,6,0.6490966533395148,0.014897540238695073,0.6624538980105884,-1.2176155393466483,0.5115414912318469,6,6,6
NA,NA,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0,1,0,51,1,-1,-0.16082198787268154,-0.5959275183134378,-0.4683737402733254,-0.7223299143949291,0.2589939183772314,3,4,5
0,NA,1,-0,0,90,12,-8,-0.7007677486808125,0.47301633415279476,-0.4683737402733254,0.4333365438257492,-0.8774701594685381,3,3,2
NA,NA,3,3,1,74,4,-8,-0.0258355476706488,-0.7486337829514711,-0.1856668307023469,-0.5572347060776893,-0.49864880018661495,4,4,5
NA,NA,3,2,0,50,3,-8,-0.0258355476706488,-0.13780872439933817,0.23839353365412075,-0.7223299143949291,0.006446345522615976,4,4,5
NA,NA,-0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,-0,0,86,12,-8,NA,-0.13780872439933817,NA,-1.2176155393466483,-1.003743945895846,1,NA,7
NA,NA,1,-0,1,29,4,2,0.24413733273341667,-0.13780872439933817,0.09704007886863153,0.10314612719126968,0.13272013194992371,5,5,5
NA,NA,2,2,1,62,4,-8,0.10915089253138394,0.625722598790828,0.09704007886863153,0.5984317521429889,-0.6249225866139226,5,4,5
NA,NA,2,2,0,60,7,-8,-0.7007677486808125,-0.4432212536754046,-0.4683737402733254,-0.3921394977604496,0.2589939183772314,2,4,2
NA,NA,-0,-0,0,25,4,10,-0.0258355476706488,-0.4432212536754046,-0.1856668307023469,-0.5572347060776893,0.006446345522615976,4,5,4
NA,NA,2,1,0,27,2,-8,-0.0258355476706488,-0.2905149890373714,-0.1856668307023469,-0.06194908112597008,0.2589939183772314,3,5,5
NA,NA,1,NA,1,28,4,-8,0.3791237729354494,-0.5959275183134378,0.9451608075815668,0.2682413355085094,-0.6249225866139226,6,3,7
1,1,2,2,0,73,12,-8,-1.375699949690976,-1.0540463122275376,-0.6097271950588146,-1.2176155393466483,-0.2461012273319995,1,1,1
1,1,3,3,0,47,2,-8,0.7840830935415476,-0.2905149890373714,-0.1856668307023469,0.2682413355085094,-0.3723750137593072,5,7,7
NA,NA,3,3,1,51,12,-8,0.5141102131374822,0.625722598790828,1.086514262367056,-0.3921394977604496,0.8903628505137701,7,3,7
NA,NA,2,3,0,48,2,-8,0.24413733273341667,0.1676038048767283,-0.1856668307023469,0.2682413355085094,0.38526770480453915,4,5,6
0,NA,-0,-0,0,62,12,-8,-0.7007677486808125,-0.7486337829514711,-0.6097271950588146,-0.5572347060776893,0.38526770480453915,3,2,3
0,NA,-0,-0,1,59,10,10,-0.7007677486808125,0.32031006951476154,-0.044313375916857696,-0.3921394977604496,-0.11982744090469175,3,2,3
0,NA,-0,NA,0,22,4,2,-0.7007677486808125,-0.2905149890373714,-0.892434104629793,0.2682413355085094,-0.2461012273319995,1,2,5
NA,NA,NA,1,0,63,4,-7,0.7840830935415476,-0.13780872439933817,0.09704007886863153,-0.22704428944320984,0.5115414912318469,5,7,7
NA,1,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,1,25,4,-8,-0.29580842807471425,-0.7486337829514711,-0.1856668307023469,-0.22704428944320984,0.13272013194992371,3,4,4
